product_name,brand,price
"Mushrooms - Black, Dried",Jazzy,24.83
"Sugar - Sweet N Low, Individual",Innojam,53.37
Table Cloth 91x91 Colour,Dynava,1.72
"Cheese - Woolwich Goat, Log",Yadel,79.61
"Soup - Campbells, Cream Of",Midel,51.16
Wine - Delicato Merlot,Jabbercube,47.6
Pear - Halves,Photobug,92.63
"Pepper - Chillies, Crushed",Avamm,87.49
Yeast Dry - Fermipan,Nlounge,32.71
Wine - Sicilia Igt Nero Avola,Feednation,21.42
Cactus Pads,Brainbox,34.77
Tumeric,Abata,65.36
Chocolate - Dark Callets,Voolia,83.96
Beer - Original Organic Lager,Miboo,38.22
"Wine - Red, Cooking",Trudeo,9.01
Dry Ice,Flipopia,61.35
"Liners - Banana, Paper",Innotype,19.3
Parsley - Dried,Pixonyx,95.07
Wine - Lou Black Shiraz,Yambee,62.68
"Shrimp - 16 - 20 Cooked, Peeled",Fivespan,30.9
Sugar - Brown,Bluezoom,16.37
Cocoa Butter,Blogtags,92.27
Beef - Tenderloin - Aa,Oodoo,48.22
Onions - Green,Jetpulse,38.48
Table Cloth 91x91 Colour,Kwideo,55.56
Goat - Leg,Digitube,3.51
Mix - Cocktail Strawberry Daiquiri,Skajo,51.82
Bay Leaf Fresh,Blogtag,88.09
Muffin Hinge 117n,Lazz,52.19
Wine - Trimbach Pinot Blanc,Voolith,61.48
Ham - Virginia,Thoughtsphere,70.86
"Pasta - Lasagne, Fresh",Flipbug,46.59
Pineapple - Regular,Brightdog,92.45
"Roe - Lump Fish, Black",Midel,87.17
Sauce - Oyster,Podcat,6.56
Compound - Strawberry,Eadel,80.51
Capicola - Hot,Kanoodle,46.2
Quail Eggs - Canned,Edgeclub,72.61
"Tarragon - Primerba, Paste",Aimbo,32.46
"Lentils - Red, Dry",Mudo,40.08
Longos - Grilled Chicken With,Dabjam,11.02
"Cheese - Mozzarella, Shredded",Browseblab,53.57
Scallop - St. Jaques,Zoomcast,23.22
Wasabi Powder,Vinte,30.71
Sugar - Icing,Lazz,72.77
Foam Dinner Plate,Vipe,31.21
Appetizer - Cheese Bites,Shuffledrive,32.24
"Bread - Pumpernickle, Rounds",InnoZ,83.35
Croissants Thaw And Serve,Jazzy,48.79
Beef - Rib Eye Aaa,Dabshots,32.12
Coffee Cup 8oz 5338cd,Eabox,17.44
Apricots Fresh,Gabtype,53.15
"Ranchero - Primerba, Paste",Trudeo,24.74
Soup - Campbells Beef Strogonoff,Twitternation,7.77
Pepper - Cayenne,Browsebug,98.53
Oil - Olive,Vinte,55.54
Meldea Green Tea Liquor,Demizz,12.3
Wooden Mop Handle,Bubbletube,84.48
Napkin Colour,Thoughtblab,73.53
Cheese - Parmesan Cubes,Rooxo,44.63
"Pasta - Cannelloni, Sheets, Fresh",Ooba,15.12
Container - Clear 32 Oz,Aimbo,45.48
Wine - Magnotta - Bel Paese White,Mycat,82.21
Pate - Liver,Leexo,52.59
Tea - Jasmin Green,Pixoboo,70.03
Lotus Rootlets - Canned,Avavee,9.31
"Pasta - Cappellini, Dry",Twinder,68.69
"Juice - Grape, White",Yombu,28.4
Seabream Whole Farmed,Edgeify,50.33
Water - San Pellegrino,Aimbu,62.4
Squid U5 - Thailand,Kwilith,11.15
Beer - Sleemans Honey Brown,Twimm,85.28
Pear - Packum,Tavu,94.76
Puree - Mocha,Flashset,39.11
Cheese - Stilton,Latz,10.74
Cookie Dough - Chunky,Realblab,16.35
Sponge Cake Mix - Chocolate,Jazzy,39.22
Squid - Breaded,Meevee,51.57
Drambuie,Zava,12.48
Cocoa Butter,Gabcube,21.17
Soho Lychee Liqueur,Zoombeat,7.09
Potatoes - Pei 10 Oz,Bluezoom,56.79
Pimento - Canned,Topicblab,8.32
Herb Du Provence - Primerba,Topicware,27.54
Steam Pan - Half Size Deep,Zoovu,19.91
Wine - Fontanafredda Barolo,Yadel,96.43
Cake - French Pear Tart,Roombo,90.64
Hold Up Tool Storage Rack,Youbridge,57.03
"Beef - Ox Tail, Frozen",Cogibox,52.27
"Potatoes - Yukon Gold, 80 Ct",Shufflebeat,79.37
Cookies Oatmeal Raisin,Yodo,20.9
Thyme - Fresh,Omba,78.35
"Rum - Dark, Bacardi, Black",LiveZ,69.13
Sugar Thermometer,Gabvine,14.98
"Wine - Red, Metus Rose",Voonder,93.0
Fuji Apples,Divape,88.78
Veal - Sweetbread,Eadel,40.15
Rice - Jasmine Sented,Bluejam,85.45
Beef - Cow Feet Split,Demimbu,93.66
Paste - Black Olive,Devshare,80.09
Soho Lychee Liqueur,Innojam,11.22
"Beef - Ground, Extra Lean, Fresh",Photobean,25.63
"Cheese - Romano, Grated",Browsebug,72.68
Juice - Orange 1.89l,Eabox,60.46
Bagel - 12 Grain Preslice,Skyvu,30.97
Bread - Olive,Twitterbeat,45.87
Nut - Pumpkin Seeds,Fadeo,98.35
Wine - Gewurztraminer Pierre,Npath,89.72
